asset_id,original_backup_path,original_asset_path,webp_asset_path,webp_status,width,height,source_type,source_title,source_date,description,reference_count
archive-image-0001,this_profile's_activity_across_facebook/posts/media/kabaxiezhen_480010820834972/1207727215923584.jpg,assets/images/original/archive-image-0001.jpg,assets/images/webp/archive-image-0001.webp,ok,720,540,album_photo,カバー写真,2015.11.17,カバー写真,1
archive-image-0002,this_profile's_activity_across_facebook/posts/media/kabaxiezhen_480010820834972/480010837501637.jpg,assets/images/original/archive-image-0002.jpg,assets/images/webp/archive-image-0002.webp,ok,720,540,album_cover,カバー写真,2022.09.29,カバー写真,2
archive-image-0003,this_profile's_activity_across_facebook/posts/media/mobairuappurodo_480010814168306/2127169060646057.jpg,assets/images/original/archive-image-0003.jpg,assets/images/webp/archive-image-0003.webp,ok,960,720,album_photo,モバイルアップロード,2018.05.16,モバイルアップロード,2
archive-image-0004,this_profile's_activity_across_facebook/posts/media/mobairuappurodo_480010814168306/2127169073979389.jpg,assets/images/original/archive-image-0004.jpg,assets/images/webp/archive-image-0004.webp,ok,720,960,album_photo,モバイルアップロード,2018.05.16,モバイルアップロード,2
archive-image-0005,this_profile's_activity_across_facebook/posts/media/mobairuappurodo_480010814168306/2127169103979386.jpg,assets/images/original/archive-image-0005.jpg,assets/images/webp/archive-image-0005.webp,ok,720,960,album_photo,モバイルアップロード,2018.05.16,モバイルアップロード,2
archive-image-0006,this_profile's_activity_across_facebook/posts/media/mobairuappurodo_480010814168306/2129127860450177.jpg,assets/images/original/archive-image-0006.jpg,assets/images/webp/archive-image-0006.webp,ok,960,720,album_cover,モバイルアップロード,2018.05.18,このFacebookページをいいね！してくれた方に、猫耳がキュートなステッカーをプレゼントしてるよ。CODEforCATのコアメンバーを見つけたら、声かけてね。CivicTechForumeやSocialHackDayで会いましょう〜！,3
archive-image-0007,this_profile's_activity_across_facebook/posts/media/purofiruxiezhen_480010817501639/1207728592590113.png,assets/images/original/archive-image-0007.png,assets/images/webp/archive-image-0007.webp,ok,475,359,album_photo,プロフィール写真,2015.11.17,プロフィール写真,1
archive-image-0008,this_profile's_activity_across_facebook/posts/media/purofiruxiezhen_480010817501639/1207728895923416.png,assets/images/original/archive-image-0008.png,assets/images/webp/archive-image-0008.webp,ok,517,260,album_photo,プロフィール写真,2015.11.17,プロフィール写真,1
archive-image-0009,this_profile's_activity_across_facebook/posts/media/purofiruxiezhen_480010817501639/1207730129256626.png,assets/images/original/archive-image-0009.png,assets/images/webp/archive-image-0009.webp,ok,284,284,album_photo,プロフィール写真,2015.11.17,プロフィール写真,1
archive-image-0010,this_profile's_activity_across_facebook/posts/media/purofiruxiezhen_480010817501639/1207730929256546.png,assets/images/original/archive-image-0010.png,assets/images/webp/archive-image-0010.webp,ok,320,320,album_photo,プロフィール写真,2015.11.17,プロフィール写真,1
archive-image-0011,this_profile's_activity_across_facebook/posts/media/purofiruxiezhen_480010817501639/480010834168304.png,assets/images/original/archive-image-0011.png,assets/images/webp/archive-image-0011.webp,ok,320,320,album_cover,プロフィール写真,2022.09.29,プロフィール写真,2
archive-image-0012,this_profile's_activity_across_facebook/posts/media/tiandaidaoshicha7yue28ri_1401201876576116/1401201986576105.jpg,assets/images/original/archive-image-0012.jpg,assets/images/webp/archive-image-0012.webp,ok,1224,918,album_photo,田代島視察（7月28日）,2016.07.28,飼猫か？,1
archive-image-0013,this_profile's_activity_across_facebook/posts/media/tiandaidaoshicha7yue28ri_1401201876576116/1401202079909429.jpg,assets/images/original/archive-image-0013.jpg,assets/images/webp/archive-image-0013.webp,ok,1224,918,album_cover,田代島視察（7月28日）,2016.07.28,田代島上陸。水揚げの時間ではなかったからか、港には、にゃんこは、この一匹だけでした。,2
archive-image-0014,this_profile's_activity_across_facebook/posts/media/tiandaidaoshicha7yue28ri_1401201876576116/1401202183242752.jpg,assets/images/original/archive-image-0014.jpg,assets/images/webp/archive-image-0014.webp,ok,1224,918,album_photo,田代島視察（7月28日）,2016.07.28,漁港近くのにゃん。,1
archive-image-0015,this_profile's_activity_across_facebook/posts/media/tiandaidaoshicha7yue28ri_1401201876576116/1401202189909418.jpg,assets/images/original/archive-image-0015.jpg,assets/images/webp/archive-image-0015.webp,ok,1224,918,album_photo,田代島視察（7月28日）,2016.07.28,何か言いたいことがあるらしい。,1
archive-image-0016,this_profile's_activity_across_facebook/posts/media/tiandaidaoshicha7yue28ri_1401201876576116/1401202226576081.jpg,assets/images/original/archive-image-0016.jpg,assets/images/webp/archive-image-0016.webp,ok,1224,918,album_photo,田代島視察（7月28日）,2016.07.28,こんな感じの道が続く。,1
archive-image-0017,this_profile's_activity_across_facebook/posts/media/tiandaidaoshicha7yue28ri_1401201876576116/1401202403242730.jpg,assets/images/original/archive-image-0017.jpg,assets/images/webp/archive-image-0017.webp,ok,1224,918,album_photo,田代島視察（7月28日）,2016.07.28,唯一、目撃できた子猫。,1
archive-image-0018,this_profile's_activity_across_facebook/posts/media/tiandaidaoshicha7yue28ri_1401201876576116/1401202426576061.jpg,assets/images/original/archive-image-0018.jpg,assets/images/webp/archive-image-0018.webp,ok,1224,918,album_photo,田代島視察（7月28日）,2016.07.28,兄弟かな。,1
